Agency Name,Licensee/Corporate Entity,Key Contacts / Roles,Primary Phone,Email Address,Physical Location / Address,Market Segment
My Holidays Ltd,"SSR Airport, Counter 07",SSR Airport; Reservations Team,"+230 5250 3606 / +230 5254 1764, +230 5250 3606, +230 5254 1764, +230 631 3030",reservations@myholidays.mu,,Boutique/Independent Network Agency
Prestige Holidays,70 Nicolay Rd,Reservations,,,,Boutique/Independent Network Agency
Rev Voyages,Rev Voyages Ltee,,,,"Garden Village, Curepipe",Boutique/Independent Network Agency
Rev' Voyages Ltee,Via Corporate Desk,Management Office,+230 670 4711,,"Garden Village, Curepipe",Boutique/Independent Network Agency
Sader Voyages,Sader Voyages Ltd,44 SSR Ramgoolam St,,,,Boutique/Independent Network Agency
Seaside Holidays Ltd,Seaside Holidays Ltd,Management Lead,+230 241 0260,seasideholidays@intnet.mu,"Daureeawoo St, Port Louis",Boutique/Independent Network Agency
Solnitchni Voyage,Solnitchni Voyage,"via Registry; Forest Lane, La Marie",+230 684 2560,,,Boutique/Independent Network Agency
Sun 'n' Sand Holidays,Sun 'n' Sand Holidays Ltd,,+230 261 7629,sunsand@intnet.mu,"Royal Road, Triolet",Boutique/Independent Network Agency
Sunset Holidays Ltd,Via Corporate Desk,Holiday Packages Team,"+230 454 0111, +230 464 7665",info@sunsetholidays.mu,"Royal Rd, Rose Hill; 286A Royal Rd, Rose Hill",Boutique/Independent Network Agency
Sunshine Voyages,Sunshine Voyages Ltd,Booking Lead,+230 413 6565,sunshinevoyages@gmail.com,"Fortune Way Bldg; Fortune Way Bldg, Central Flacq",Boutique/Independent Network Agency
Travel Holiday Mauritius,Royal Travel Agency Ltd,via royaltravel.mu; Independent Network,"+230 403 6500, +230 5774 3782, +230 460 7777, +230 212 4070","info@travelnetworkservices.mu, travelholidaymauritius@gmail.com, info@royaltravel.mu","Suite G4, Ground Floor, 57 Ebene Mews, Ebene; Analysis House, Ebene; Kwong Ha Tong Wong Bldg; Travel Holiday Mauritius; Ebene Mews; Mauritius",Boutique/Independent Network Agency
Tropical Heat Holidays,Tropical Heat Holidays,,+230 466 5385,tropheat@intnet.mu,"1st Floor, Newry Complex, St Jean Rd, Quatre Bornes",Boutique/Independent Network Agency
Turquoise Voyages / Samtours,Turquoise Voyages / Samtours,Independent Network,+230 5815 3169,samtoursmauritius@gmail.com,Mauritius,Boutique/Independent Network Agency
Venus Voyages Vacances,Real Spot Ltd,,,,"Jules Koenig St, Port Louis",Boutique/Independent Network Agency
iStar Travel,iStar Travel,Operations Team; Independent Network,+230 5254 6472,istartravel.mu@gmail.com,"Mauritius; Main Office, Mauritius",Boutique/Independent Network Agency
Atom Travel Service,Atom Travel Service Ltd,Founder & CEO; Sales Director; Caroline Chen; Charles Ng Tai Mui,,atomtravel@intnet.mu,"16 Royal St, Port Louis",Premium Corporate & Retail Agency
Comptoir Du Monde,Comptoir Du Monde Ltd,,+230 670 5400,comptoirdumonde@intnet.mu,"20 Raffray St, Curepipe",Premium Corporate & Retail Agency
Concorde Travel & Tours,Concorde Travel & Tours,Bruno Lebreux (Managing Director); Managing Director; Bruno Lebreux,+230 698 7000,concorde@intnet.mu,"Royal Road, Floreal; Royal Rd, Floreal",Premium Corporate & Retail Agency
Emirates,Emirates,,+230 207 7070,contactus@emirates.com,"Newton Tower, Port Louis; Mauritius Sales Team",Premium Corporate & Retail Agency
Gold Air Travel & Tours,Gold Air Travel & Tours Ltd,29 Leoville Lhomme St,"+230 5256 6689, +230 242 8564 / 242 8565",goldair@intnet.mu,,Premium Corporate & Retail Agency
Grand Bay Travel & Tours,Pine Travel & Tours Ltd,,+230 402 1000,info@grandbaytravel.mu,"Ebene Tower, Cybercity",Premium Corporate & Retail Agency
Harel Mallac Aviation,Harel Mallac Aviation Ltd,Aviation Sales; 18 Edith Cavell St,+230 207 3000,communication@harelmallac.com,,Premium Corporate & Retail Agency
Itineris,Itineris Ltd,Travel Design Team,+230 207 3000,communication@harelmallac.com,"18 Edith Cavell St, Port Louis",Premium Corporate & Retail Agency
Shamal Travels Ltd,Shezad Tincowree,Shezad Tincowree (Director); Director,"+230 5256 0155, +230 464 8855, +230 464 8855 / 5256 0155",contact@shamalgroup.com,"34 Talipots Ave, Quatre Bornes",Premium Corporate & Retail Agency
Silver Wings Travels,Silver Wings Travels Ltd,Andre Nairac (Managing Director); Managing Director; Andre Nairac,+230 210 0160,infos@silverwings.mu,"3 John Kennedy St, Port Louis",Premium Corporate & Retail Agency
Sky Air Travel,Sky Air Ltd,,+230 216 8668,travel@skyair.mu,"Mamode Ally Court, SSR St",Premium Corporate & Retail Agency
Cathay Tours,Corporate DMC,Corporate DMC Lead,+230 211 7878,cathaytours@intnet.mu,"Moorgate House, Port Louis; Port Louis",Premium DMC / Inbound Operator
Connections Tourism Management,Connections Tourism Management,Premium DMC Lead; Premium DMC,+230 686 2526,info@connections.mu,"Crater Lane, Floreal; Floreal",Premium DMC / Inbound Operator
Coquille Bonheur,"SSR Airport, Counter 24",SSR Airport; Executive Management,+230 637 8905,info@coquillebonheur.com,,Premium DMC / Inbound Operator
Emotions Destination Management,"SSR Airport, Counter 06",SSR Airport; Inbound Operations Lead,+230 637 3368,info@emotionsdmc.com,,Premium DMC / Inbound Operator
Global Destination,Global Destination Ltd,,+230 670 9993,globaldestination@myt.mu,"College Lane, Curepipe",Premium DMC / Inbound Operator
Klik (Moris) Destination Ltd,"SSR Airport, Counter 07",SSR Airport; Airport Counter Supervisor,+230 5989 0030,info@klikmoris.mu,,Premium DMC / Inbound Operator
Mango Beach Connections,Mango Beach Connections,Mango Beach Tours,+230 708 2878,info@mangobeachtours.com,"Royal Road, Mauritius",Premium DMC / Inbound Operator
Mautourco Ltd,Mautourco Ltd,Operations Director; Richard Robert; Richard Robert (Operations Director),+230 601 2200,info@mautourco.com,"84 Gustave Colin St, Forest Side",Premium DMC / Inbound Operator
Rogers Aviation,Rogers Aviation,Corporate Travel Team,+230 202 6666,aviation@rogers.mu,Rogers Aviation (Mauritius) Ltd; Bagatelle Office Park,Premium DMC / Inbound Operator
Solis Indian Ocean,Solis Indian Ocean,Rheena Dookun-Adolphe; Managing Director; Rheena Dookun-Adolphe (Managing Director),+230 212 6918,rheena.d@solis-io.com,"43 Sir W. Newton St, Port Louis; 43 Sir William Newton St, Port Louis",Premium DMC / Inbound Operator
SummerTimes Voyages,Manahe Ltd,Philippe Hitié; General Manager; Executive Chairman; Laura Hitié; Main Office,,,"7 Ave Bernardin de St Pierre, Quatre Bornes",Premium DMC / Inbound Operator
Summerdream Destination Ltd,Via Corporate Desk,Via Registry; Destination Coordinator,,,"Main Office, Mauritius",Premium DMC / Inbound Operator
Amigo Car Rental & Tours,Amigo Car Rental & Tours,Car Rental & Tours,+230 5256 2151,amigocarrental@gmail.com,Mahebourg; amigomauritiuscarrental.com,Specialized Transfer & Transport Operator
Moristaxi.Com,Moristaxi.Com,Transport & Tours,+230 5797 9455,booking@moristaxi.com,Port Louis,Specialized Transfer & Transport Operator
Mutt - Taxi Service & Tours,Mutt - Taxi Service & Tours,Airport Taxi & Tours; Transport Operations Manager,+230 5861 4481,mutttaxiservice@gmail.com,airporttaximauritius.site; Pereybere,Specialized Transfer & Transport Operator
Sam's Tours & Car Rental,Sam's Tours & Car Rental,Tours & Car Rental,+230 5501 4013,,Blue Bay,Specialized Transfer & Transport Operator
Aeromarine Co Ltd,Aeromarine Co Ltd,,,,"Mer Rouge, Port Louis",Standard B2C Agency
Aerowaves,Corporate Operations,,+230 631 2828,aerowaves@intnet.mu,"La Chaux St, Mahebourg",Standard B2C Agency
Al-Labbaik Ltd,Al-Labbaik Ltd,,,,"20 Sir Virgile Naz St, Port Louis",Standard B2C Agency
Alladin Travel,Alladin Travel,"Alladin Mohammad Abdool Latiff; M. A. L. Alladin; Registered Licensee; Wolmar, Flic en Flac",,,,Standard B2C Agency
Altours Services,Altours Services Ltd,,+230 269 1372,altours@intnet.mu,"Corner of Royal & Orchidee Roads, Grand Baie",Standard B2C Agency
Ambiance Tours (Mtius) Ltd,Via Corporate Desk,Via Registry; Excursions Coordinator,,,"Main Office, Mauritius",Standard B2C Agency
Appadoo Ramsamy Travel & Tours,Via Corporate Desk,Via Registry; Corporate Tour Director,,,"Main Office, Mauritius",Standard B2C Agency
Aqua Tours & Travel Ltd,Aqua Tours & Travel Ltd,Operations Team,"+230 263 5535, +230 5257 5535",aquatours@intnet.mu,Pointe Aux Canonniers,Standard B2C Agency
As Siyaaha Tour Operator Ltd,As Siyaaha Tour Operator Ltd,Inbound Operations Lead,"+230 5475 4200, +230 5988 4242",info@as-siyaaha.com,"Mosque Road, Terre Rouge",Standard B2C Agency
As-Siyaaha Tour Operator Ltd,As-Siyaaha Tour Operator Ltd,Regional DMC,+230 5475 4200,info@as-siyaaha.com,,Standard B2C Agency
Atlas Travel,Atlas Travel Ltd,,,,"1 Eugene Laurent St, Port Louis",Standard B2C Agency
Atro Travel & Tours,Atro Travel & Tours Ltd,,,,"Inkerman St, Rose Hill",Standard B2C Agency
Australair GSA,Australair GSA Ltd,Airline Representation; 6 John Kennedy St,+230 213 9310,enquiries@arcadia.mu,,Standard B2C Agency
Avia Travel & Tours,Avia International Services Ltd,,,,"26 Deschartes St, Port Louis",Standard B2C Agency
Avish Travel Tours Ltd,Via Corporate Desk,Via Registry; Travel Packages Desk,,,"Main Office, Mauritius",Standard B2C Agency
Basing Hill,Basing Hill,"Calodyne, Grand Gaube",+230 5944 3065,,,Standard B2C Agency
Best Travel,Daria Services Ltd,,+230 454 4900,besttravel@myt.mu,"Boundary Rd, Rose Hill",Standard B2C Agency
Bhoyroos Travel & Tours,Bhoyroos Travel & Tours Ltd,Operations Department,"+230 413 7878, +230 5754 7878",bhoyroostravel@gmail.com,Central Flacq,Standard B2C Agency
Blue Escape,Blue Escape,Blue Escape Travel Tours,+230 466 3638,nasiling@intnet.mu,"25 Pellereau Street, Port Louis",Standard B2C Agency
Blueberry Travel Agency,Blueberry World Ltd,,+230 427 3300,blueberrytravel@gmail.com,"Palma Rd, Quatre Bornes",Standard B2C Agency
Bluella Travel & Tours,Bluella Travel & Tours Ltd,Operations Lead,"+230 5758 6262, +230 433 6262",bluellatravel@gmail.com,"L'Avenir, St Pierre",Standard B2C Agency
Bonny Air Travel & Tours Ltd,Bonny Air Travel & Tours Ltd,Reservations; Corporate Travel Team,"+230 427 4747, +230 242 6812","bonnyair@intnet.mu, delho@intnet.mu","Royal Rd, Candos; Fon Sing Building, Port Louis",Standard B2C Agency
Briton Tour Operator,Briton Consultancy & Travel Tours Ltd,,,,"Royal Rd, Phoenix",Standard B2C Agency
Bte Tour Operator,Bte Tour Operator,,,,"Solferino Rd, Vacoas",Standard B2C Agency
Budget Travel Centre,Francois Mitterand Rd,Management Lead,+230 413 4949,budgettravel@intnet.mu,"Francois Mitterand Rd, Flacq",Standard B2C Agency
C Prive Safari,C Priver Safari Ltd,Safari Operations,,,"Mangalkhan, Floreal",Standard B2C Agency
Check-In Travel,Check-In-Travel Ltd,Reservations,,,"Astor Court Bldg, Port Louis",Standard B2C Agency
Clavis Travel Bureau,Clavis Travel Bureau Co Ltd,1 Rue Farquhar,,,,Standard B2C Agency
Comfort Travel Tours,Comfort Travel Tours Ltd,Operations Team,+230 433 4747,comforttraveltours@gmail.com,"St Pierre, Moka",Standard B2C Agency
Corsairfly,Citirama Ltd,Airline Sales; Le Caudan Waterfront,,,,Standard B2C Agency
DIK Travel & Tours,DIK Travel & Tours,Meeta Devi Goburdhun; Meeta Devi Goburdhun (Registered Owner); Registered Owner,+230 5816 8779,diktravelgoodlands@gmail.com,"Deschartes St, Port Louis",Standard B2C Agency
Direct Booking,Direct Booking,,+230 5257 0059,,Quatre Cocos; Coastal Operator,Standard B2C Agency
Dodo Island Discoveries,Dodo Island Discoveries,Via Portal,,info@dododiscoveries.mu,Grand Baie (Online Operator),Standard B2C Agency
Dragon Travel,Lion Horse Co Ltd,,,,"30 Joseph Riviere St, Port Louis",Standard B2C Agency
Dynasty Tours & Travel,Dynasty Tours and Travel Ltd,,+230 448 9556,antoine@dynastytours.mu,"Moka Business Centre, Lot 203c, Mont Ory, Moka",Standard B2C Agency
Easyfly,Easyfly,F. B. S. Issimdar; Issimdar Fateemah Bibi Shameema; Registered Owner,,,"12 Theodore Sauzier St, Curepipe",Standard B2C Agency
Escale Vacances Limitee,Via Corporate Desk,Vacation Planners Team; Via Registry,,,"Main Office, Mauritius",Standard B2C Agency
Etnika Travel Mauritius,Etnika Travel Mauritius,"Founder & Owner; Calodyne, Grand Gaube; Laura Grenouille",+230 265 5468,info@etnikatravel.com,Etnika Travel Mauritius,Standard B2C Agency
Etoile Du Pelerinage,Etoile Du Pelerinage Ltd,Management Lead,+230 249 4523,etoilepelerinage@gmail.com,"Le Hochet, Terre Rouge",Standard B2C Agency
Finzh Travel Ltd,Francois Mitterand Rd,,,,,Standard B2C Agency
Flyways Travel,J.H.T Travel Ltd,Management Team,+230 483 7070,flywaystravel@gmail.com,"La Mivoie, Black River",Standard B2C Agency
Garudas Travel,SOJ Investments Ltd,,+230 213 9310,contact@arcadia.mu,"John Kennedy St, Port Louis",Standard B2C Agency
Genting Travel,Genting Travel Ltd,,+230 466 5500,genting@intnet.mu,"St Jean Rd, Quatre Bornes",Standard B2C Agency
Green Paradise Tours,Green Paradise Tours,,+230 283 3587,contact@greenparadisetours.mu,"Kalimaye Road, Petit Raffray",Standard B2C Agency
Gsa Travel & Tourism,Pre Book Travel Ltd,,,,Ebene Heights,Standard B2C Agency
H.A.L. Vacance,H.A.L Vacance International Ltee,"17 Rue Des Roses, St Croix",,,,Standard B2C Agency
IKS Travel Agency,IKS Travel Agency,,+230 216 9700,iks@intnet.mu,"Corporate HQ, Port Louis; IKS Building",Standard B2C Agency
Igo Travel and Tours,COB International Ltd,89 St Jean Rd,,,,Standard B2C Agency
Inter Travel & Tours,Inter Travel & Tours Co. Ltd,,+230 212 5428,ndussoye@intnet.mu,"15, Bourbon St, Port Louis",Standard B2C Agency
Isa Travel and Tours,Isa Travel and Tours Ltd,,,,Rose Hill,Standard B2C Agency
Jfet Travel & Tours,Jfet Travel & Tours Ltd,Management Lead,+230 249 4950,jfettravel@gmail.com,"Silk Rd, Terre Rouge",Standard B2C Agency
Joy Travel Agency,Societe Jaykeenundun,18 Lord Kitchener St,,,,Standard B2C Agency
Keiffel Tour Co Ltd,Keiffel Tour Co Ltd,,,,Port Louis,Standard B2C Agency
La Vallee Tours Ltee,La Vallee Tours Ltee,"Mon Gout, Pamplemousses",,,,Standard B2C Agency
Lapis Lazuli,Lapis Lazuli Travel Ltd,,,,"De Pinay St, Curepipe",Standard B2C Agency
MRN Travel and Tours,MRN Travel & Tours Agency Ltd,,,,,Standard B2C Agency
Magic Sun Tours,Magic Sun Tours,,+230 294 6909,info@magicsuntours.mu,"Magic Sun Tours Mauritius Ltd; 101, Trianon II Ave, Quatre Bornes",Standard B2C Agency
Marcama Ltd,Marcama Ltd,Beau Bassin,,,,Standard B2C Agency
Maya Travel & Tours,Maya Travel & Tours Ltd,,+230 686 3232,mayatravel@intnet.mu,Floreal,Standard B2C Agency
Monalysa Tour Operator Co. Ltd,Monalysa Tour Operator Co. Ltd,Management Team,"+230 263 0991, +230 5937 7750",monalysa@intnet.mu,"La Salette Road, Grand Baie",Standard B2C Agency
Mystic Vacations,Mystic Vacations & Events Ltd,,+230 670 6507,mysticvacations@intnet.mu,"No. 12 Celicourt Antelme, Forest Side",Standard B2C Agency
Nass Travel Agency,Nass Travel Agency,Registered Owner; Naseem Banu Khedarun,,,"19 Lord Kitchener St, Port Louis",Standard B2C Agency
New Asia Travel Tours,New Asia Travel Tours Co Ltd,3 Margeot Square,+230 467 2325,newasia@intnet.mu,,Standard B2C Agency
Nice Tours,Nice Tours Ltd,,+230 467 7070,nicetours@intnet.mu,"Atrium Complex, Rose Hill",Standard B2C Agency
Oceania Travel Agents,Corner SSR & Pasteur St,Reservations,+230 213 8886,,,Standard B2C Agency
One World Travel,One World Marketing Co.,,+230 454 9046,oneworldmarketing@intnet.mu,"Ground Floor, Cyber Tower 1, Ebene",Standard B2C Agency
Paradise Travel,MDN Ramgoolam Ltd,Management Lead,+230 413 5252,paradisetravel@intnet.mu,"St Ursule St, Flacq",Standard B2C Agency
Pelerins Du Monde,Pelerins Du Monde Ltd,Management Lead,+230 249 4120,pelerinsdumonde@gmail.com,"Le Hochet, Terre Rouge",Standard B2C Agency
Platinum Travel,Platinum Travel and Tours Ltd,Sunsheel Shopping Centre,+230 674 6400,platinumtravel@intnet.mu,,Standard B2C Agency
Prebook Travel Ltd,Prebook Travel Ltd,Booking & Reservations Team,"+230 631 3700, +230 5258 1708",resa@mauritiusbookings.com,"La Tour Koenig, Port Louis",Standard B2C Agency
Promotour Mauritius,La Difference Ltee,Julien Noyaux; Key Accounts,,julien.noyaux@promotour.mu,"Promotour Mauritius; 2 Bis Poivre Ave, Quatre Bornes",Standard B2C Agency
R Link Travel,K R Link Ltd,,,,"Fon Sing Building, Edith Cavell St",Standard B2C Agency
Real Travel Service,Real Travel & Tours Ltd,Management Lead,+230 433 5959,realtravel@myt.mu,"Montagne Blanche, Moka",Standard B2C Agency
Reze Travel and Tours,The Reze Travel & Tours Ltd,Reservations Lead,+230 631 3030,rezetravel@gmail.com,Mahebourg,Standard B2C Agency
S Naz Travel & Tours,S Naz Travel & Tours Co Ltd,,,,"25-27 Louis Pasteur St, Port Louis",Standard B2C Agency
Safeway Travel & Tours,Safeway Travel & Tours Ltd,,,,"48 Jummah Mosque St, Port Louis",Standard B2C Agency
Saint Tour Operator Co Ltd,Via Corporate Desk,Inbound Operations Lead; Via Registry,,,"Main Office, Mauritius",Standard B2C Agency
Shopping Drive,Shopping Drive (Mtius) Ltd,,,,"St Joseph Rd, Terre Rouge",Standard B2C Agency
Sidhu Travel,Sidhu Travel,,"+230 698 6613, +230 5755 6613",sidhutravel@hotmail.com,"Camp Fouquereaux, Phoenix",Standard B2C Agency
Skylink Travel,Skylink Travel & Tours Co Ltd,Operations Lead,"+230 5756 2424, +230 416 2424",skylinktravels@hotmail.com,Bel Air Riviere Seche,Standard B2C Agency
SmartTraveller,SmartTraveller,Via Portal,,hello@smarttraveller.mu,Tamarin / Black River,Standard B2C Agency
The Golden Conch,The Golden Conch Company Ltd,,+230 440 0889,thegoldenconch@intnet.mu,"Regus Business Centre, Golden Conch Heights, Ebene",Standard B2C Agency
Trade / Agency Name,Corporate Entity / Legal Name,Main Phone Line; Registered Physical Address; Verified Email / Digital Handle,,,,Standard B2C Agency
Tri Ocean Tours,Tri Ocean Tours Ltd,Operations Team,"+230 5254 6868, +230 263 6868",info@trioceantours.com,Pointe Aux Canonniers,Standard B2C Agency
Tush Travel Tours,Tush Travel Tours,Tour Operator,+230 5769 5627,tushtraveltours@gmail.com,Chamouny,Standard B2C Agency
Universal Travel & Tours,Universal Travel & Tours,Luximon Bibi Zeenat Bano; B. Z. B. Luximon; Registered Owner,,,"24 Dr Hassen Sakir St, Port Louis",Standard B2C Agency
Vacances Aventures Ltee,Via Corporate Desk,Adventure Booking Desk; Via Registry,,,"Main Office, Mauritius",Standard B2C Agency
Vacation Plus Travel,Vacation Plus Travel & Tours Ltd,,,,"Valton Rd, Long Mountain",Standard B2C Agency
Vipers Ltd,Vipers Ltd,Raoul Rivet & Orlean St,,,,Standard B2C Agency
White Sand Tours,White Sand Tours,General Manager; P. Goldsmith (General Manager); P. Goldsmith,"+230 212 3712 / 211 9920, +230 212 3712",pgoldsmith@whitesandtours.com,"M1 Motorway, Port Louis",Standard B2C Agency
Yellow Saphire Travel,Yellow Saphire Travel,Registered Owner; Madhewoo Geeta; Geeta Madhewoo,,,"Royal Rd, Khoyratty",Standard B2C Agency
Yolo Trip Limited,Yolo Trip Ltd,,+230 5509 9090,hello@yolotrip.mu,Palma Royal Rd,Standard B2C Agency
Zai Travel,Zai Travel Co Ltd,,,,"John Kennedy Ave, Vacoas",Standard B2C Agency
